Year,economic activity,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2021,transport equipment rental,,,,<u>additional time series:</u> employees,35394.0
2022,transport equipment rental,,,,<u>additional time series:</u> employees,40890.0
2023,transport equipment rental,,,,<u>additional time series:</u> employees,38225.0
2010,travel agencies and other reservation service activities,.,,,<u>additional time series:</u> employees,
2011,travel agencies and other reservation service activities,.,,,<u>additional time series:</u> employees,
2012,travel agencies and other reservation service activities,.,,,<u>additional time series:</u> employees,
2013,travel agencies and other reservation service activities,.,,,<u>additional time series:</u> employees,
2014,travel agencies and other reservation service activities,.,,,<u>additional time series:</u> employees,
2015,travel agencies and other reservation service activities,.,,,<u>additional time series:</u> employees,
2016,travel agencies and other reservation service activities,.,,,<u>additional time series:</u> employees,
2017,travel agencies and other reservation service activities,.,,,<u>additional time series:</u> employees,
2018,travel agencies and other reservation service activities,.,,,<u>additional time series:</u> employees,
2019,travel agencies and other reservation service activities,.,,,<u>additional time series:</u> employees,
2020,travel agencies and other reservation service activities,,,,<u>additional time series:</u> employees,71757.0
2021,travel agencies and other reservation service activities,,,,<u>additional time series:</u> employees,69620.0
2022,travel agencies and other reservation service activities,,,,<u>additional time series:</u> employees,78682.0
2023,travel agencies and other reservation service activities,,,,<u>additional time series:</u> employees,74969.0
2021,cultural activities,,,,<u>additional time series:</u> employees,48031.0
2022,cultural activities,,,,<u>additional time series:</u> employees,53906.0
2023,cultural activities,,,,<u>additional time series:</u> employees,56266.0
2021,sports and recreational activities,,,,<u>additional time series:</u> employees,275068.0
2022,sports and recreational activities,,,,<u>additional time series:</u> employees,286360.0
2023,sports and recreational activities,,,,<u>additional time series:</u> employees,276102.0
2010,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> full-time equivalents,
2011,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> full-time equivalents,
2012,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> full-time equivalents,
2013,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> full-time equivalents,
2014,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> full-time equivalents,
2015,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> full-time equivalents,
2016,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> full-time equivalents,
2017,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> full-time equivalents,
2018,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> full-time equivalents,
2019,accommodation for visitors: hotels and similar establishments,.,,,<u>additional time series:</u> full-time equivalents,
2020,accommodation for visitors: hotels and similar establishments,,,,<u>additional time series:</u> full-time equivalents,289724.0
2021,accommodation for visitors: hotels and similar establishments,,,,<u>additional time series:</u> full-time equivalents,345255.0
2022,accommodation for visitors: hotels and similar establishments,,,,<u>additional time series:</u> full-time equivalents,353567.0
2023,accommodation for visitors: hotels and similar establishments,r,,,<u>additional time series:</u> full-time equivalents,352522.0
2010,accommodation for visitors: other,.,,,<u>additional time series:</u> full-time equivalents,
2011,accommodation for visitors: other,.,,,<u>additional time series:</u> full-time equivalents,
2012,accommodation for visitors: other,.,,,<u>additional time series:</u> full-time equivalents,
2013,accommodation for visitors: other,.,,,<u>additional time series:</u> full-time equivalents,
2014,accommodation for visitors: other,.,,,<u>additional time series:</u> full-time equivalents,
2015,accommodation for visitors: other,.,,,<u>additional time series:</u> full-time equivalents,
2016,accommodation for visitors: other,.,,,<u>additional time series:</u> full-time equivalents,
2017,accommodation for visitors: other,.,,,<u>additional time series:</u> full-time equivalents,
2018,accommodation for visitors: other,.,,,<u>additional time series:</u> full-time equivalents,
2019,accommodation for visitors: other,.,,,<u>additional time series:</u> full-time equivalents,
2020,accommodation for visitors: other,,,,<u>additional time series:</u> full-time equivalents,270579.0
2021,accommodation for visitors: other,,,,<u>additional time series:</u> full-time equivalents,406427.0
2022,accommodation for visitors: other,,,,<u>additional time series:</u> full-time equivalents,377342.0
2023,accommodation for visitors: other,,,,<u>additional time series:</u> full-time equivalents,374218.0
2010,food and beverage serving activities,.,,,<u>additional time series:</u> full-time equivalents,
2011,food and beverage serving activities,.,,,<u>additional time series:</u> full-time equivalents,
2012,food and beverage serving activities,.,,,<u>additional time series:</u> full-time equivalents,
2013,food and beverage serving activities,.,,,<u>additional time series:</u> full-time equivalents,
2014,food and beverage serving activities,.,,,<u>additional time series:</u> full-time equivalents,
2015,food and beverage serving activities,.,,,<u>additional time series:</u> full-time equivalents,
2016,food and beverage serving activities,.,,,<u>additional time series:</u> full-time equivalents,
2017,food and beverage serving activities,.,,,<u>additional time series:</u> full-time equivalents,
2018,food and beverage serving activities,.,,,<u>additional time series:</u> full-time equivalents,
2019,food and beverage serving activities,.,,,<u>additional time series:</u> full-time equivalents,
2020,food and beverage serving activities,,,,<u>additional time series:</u> full-time equivalents,743998.0
2021,food and beverage serving activities,,,,<u>additional time series:</u> full-time equivalents,1072961.0
2022,food and beverage serving activities,,,,<u>additional time series:</u> full-time equivalents,925027.0
2023,food and beverage serving activities,,,,<u>additional time series:</u> full-time equivalents,932114.0
2022,railway passenger transport,,,,<u>additional time series:</u> full-time equivalents,23151.0
2023,railway passenger transport,,,,<u>additional time series:</u> full-time equivalents,23326.0
2010,road passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2011,road passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2012,road passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2013,road passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2014,road passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2015,road passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2016,road passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2017,road passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2018,road passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2019,road passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
