Year,Units,type of harassment,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2023,number,non-sexual harassment,21 to under 60 years,,,,,20453.0
2024,number,non-sexual harassment,21 to under 60 years,,,,,21639.0
2025,number,non-sexual harassment,21 to under 60 years,,,,,22513.0
2010,number,non-sexual harassment,21 to under 60 years,female,,,,18342.0
2011,number,non-sexual harassment,21 to under 60 years,female,,,,17238.0
2012,number,non-sexual harassment,21 to under 60 years,female,,,,17207.0
2013,number,non-sexual harassment,21 to under 60 years,female,,,,16679.0
2014,number,non-sexual harassment,21 to under 60 years,female,,,,15118.0
2015,number,non-sexual harassment,21 to under 60 years,female,,,,13916.0
2016,number,non-sexual harassment,21 to under 60 years,female,,,,13260.0
2017,number,non-sexual harassment,21 to under 60 years,female,,,,13064.0
2018,number,non-sexual harassment,21 to under 60 years,female,,,,13403.0
2019,number,non-sexual harassment,21 to under 60 years,female,,,,13504.0
2020,number,non-sexual harassment,21 to under 60 years,female,,,,14027.0
2021,number,non-sexual harassment,21 to under 60 years,female,,,,14625.0
2022,number,non-sexual harassment,21 to under 60 years,female,,,,15432.0
2023,number,non-sexual harassment,21 to under 60 years,female,,,,16583.0
2024,number,non-sexual harassment,21 to under 60 years,female,,,,17639.0
2025,number,non-sexual harassment,21 to under 60 years,female,,,,18327.0
2010,number,non-sexual harassment,21 to under 60 years,male,,,,4677.0
2011,number,non-sexual harassment,21 to under 60 years,male,,,,4298.0
2012,number,non-sexual harassment,21 to under 60 years,male,,,,4089.0
2013,number,non-sexual harassment,21 to under 60 years,male,,,,4059.0
2014,number,non-sexual harassment,21 to under 60 years,male,,,,3696.0
2015,number,non-sexual harassment,21 to under 60 years,male,,,,3323.0
2016,number,non-sexual harassment,21 to under 60 years,male,,,,3043.0
2017,number,non-sexual harassment,21 to under 60 years,male,,,,2996.0
2018,number,non-sexual harassment,21 to under 60 years,male,,,,3020.0
2019,number,non-sexual harassment,21 to under 60 years,male,,,,2936.0
2020,number,non-sexual harassment,21 to under 60 years,male,,,,3166.0
2021,number,non-sexual harassment,21 to under 60 years,male,,,,3443.0
2022,number,non-sexual harassment,21 to under 60 years,male,,,,3493.0
2023,number,non-sexual harassment,21 to under 60 years,male,,,,3870.0
2024,number,non-sexual harassment,21 to under 60 years,male,,,,4000.0
2025,number,non-sexual harassment,21 to under 60 years,male,,,,4186.0
2010,number,non-sexual harassment,60 years and older,,,,,1652.0
2011,number,non-sexual harassment,60 years and older,,,,,1495.0
2012,number,non-sexual harassment,60 years and older,,,,,1495.0
2013,number,non-sexual harassment,60 years and older,,,,,1440.0
2014,number,non-sexual harassment,60 years and older,,,,,1395.0
2015,number,non-sexual harassment,60 years and older,,,,,1269.0
2016,number,non-sexual harassment,60 years and older,,,,,1251.0
2017,number,non-sexual harassment,60 years and older,,,,,1183.0
2018,number,non-sexual harassment,60 years and older,,,,,1251.0
2019,number,non-sexual harassment,60 years and older,,,,,1266.0
2020,number,non-sexual harassment,60 years and older,,,,,1288.0
2021,number,non-sexual harassment,60 years and older,,,,,1423.0
2022,number,non-sexual harassment,60 years and older,,,,,1554.0
2023,number,non-sexual harassment,60 years and older,,,,,1757.0
2024,number,non-sexual harassment,60 years and older,,,,,1771.0
2025,number,non-sexual harassment,60 years and older,,,,,1734.0
2010,number,non-sexual harassment,60 years and older,female,,,,978.0
2011,number,non-sexual harassment,60 years and older,female,,,,880.0
2012,number,non-sexual harassment,60 years and older,female,,,,905.0
2013,number,non-sexual harassment,60 years and older,female,,,,902.0
2014,number,non-sexual harassment,60 years and older,female,,,,884.0
2015,number,non-sexual harassment,60 years and older,female,,,,823.0
2016,number,non-sexual harassment,60 years and older,female,,,,788.0
2017,number,non-sexual harassment,60 years and older,female,,,,791.0
2018,number,non-sexual harassment,60 years and older,female,,,,792.0
2019,number,non-sexual harassment,60 years and older,female,,,,834.0
2020,number,non-sexual harassment,60 years and older,female,,,,845.0
2021,number,non-sexual harassment,60 years and older,female,,,,906.0
2022,number,non-sexual harassment,60 years and older,female,,,,1023.0
2023,number,non-sexual harassment,60 years and older,female,,,,1144.0
2024,number,non-sexual harassment,60 years and older,female,,,,1131.0
2025,number,non-sexual harassment,60 years and older,female,,,,1147.0
2010,number,non-sexual harassment,60 years and older,male,,,,674.0
2011,number,non-sexual harassment,60 years and older,male,,,,615.0
2012,number,non-sexual harassment,60 years and older,male,,,,590.0
2013,number,non-sexual harassment,60 years and older,male,,,,538.0
2014,number,non-sexual harassment,60 years and older,male,,,,511.0
2015,number,non-sexual harassment,60 years and older,male,,,,446.0
2016,number,non-sexual harassment,60 years and older,male,,,,463.0
2017,number,non-sexual harassment,60 years and older,male,,,,392.0
2018,number,non-sexual harassment,60 years and older,male,,,,459.0
2019,number,non-sexual harassment,60 years and older,male,,,,432.0
2020,number,non-sexual harassment,60 years and older,male,,,,443.0
2021,number,non-sexual harassment,60 years and older,male,,,,517.0
2022,number,non-sexual harassment,60 years and older,male,,,,531.0
2023,number,non-sexual harassment,60 years and older,male,,,,613.0
2024,number,non-sexual harassment,60 years and older,male,,,,640.0
2025,number,non-sexual harassment,60 years and older,male,,,,287.0
2010,number,sexual harassment,,,,,,7523.0
2011,number,sexual harassment,,,,,,8011.0
2012,number,sexual harassment,,,,,,8306.0
2013,number,sexual harassment,,,,,,8161.0
2014,number,sexual harassment,,,,,,8356.0
2015,number,sexual harassment,,,,,,8262.0
2016,number,sexual harassment,,,,,,8599.0
2017,number,sexual harassment,,,,,,8350.0
2018,number,sexual harassment,,,,,,8817.0
2019,number,sexual harassment,,,,,,8031.0
2020,number,sexual harassment,,,,,,9319.0
2021,number,sexual harassment,,,|,,,9035.0
2022,number,sexual harassment,,,,,,9640.0
2023,number,sexual harassment,,,,,,10166.0
2024,number,sexual harassment,,,,,,10773.0
2025,number,sexual harassment,,,,,,10672.0
2010,number,sexual harassment,,female,,,,6624.0
2011,number,sexual harassment,,female,,,,7050.0
2012,number,sexual harassment,,female,,,,7400.0
2013,number,sexual harassment,,female,,,,7269.0
2014,number,sexual harassment,,female,,,,7381.0
2015,number,sexual harassment,,female,,,,7296.0
2016,number,sexual harassment,,female,,,,7525.0
2017,number,sexual harassment,,female,,,,7273.0
2018,number,sexual harassment,,female,,,,7628.0
2019,number,sexual harassment,,female,,,,6840.0
2020,number,sexual harassment,,female,,,,7967.0
2021,number,sexual harassment,,female,|,,,7673.0
2022,number,sexual harassment,,female,,,,8152.0
2023,number,sexual harassment,,female,,,,8451.0
2024,number,sexual harassment,,female,,,,8839.0
2025,number,sexual harassment,,female,,,,8611.0
2010,number,sexual harassment,,male,,,,899.0
2011,number,sexual harassment,,male,,,,961.0
2012,number,sexual harassment,,male,,,,906.0
2013,number,sexual harassment,,male,,,,892.0
2014,number,sexual harassment,,male,,,,975.0
2015,number,sexual harassment,,male,,,,966.0
2016,number,sexual harassment,,male,,,,1074.0
2017,number,sexual harassment,,male,,,,1077.0
2018,number,sexual harassment,,male,,,,1189.0
2019,number,sexual harassment,,male,,,,1191.0
2020,number,sexual harassment,,male,,,,1352.0
2021,number,sexual harassment,,male,|,,,1362.0
2022,number,sexual harassment,,male,,,,1488.0
2023,number,sexual harassment,,male,,,,1715.0
2024,number,sexual harassment,,male,,,,1934.0
2025,number,sexual harassment,,male,,,,2061.0
2010,number,sexual harassment,13 years and younger,,,,,0.0
2011,number,sexual harassment,13 years and younger,,,,,0.0
2012,number,sexual harassment,13 years and younger,,,,,0.0
2013,number,sexual harassment,13 years and younger,,,,,0.0
2014,number,sexual harassment,13 years and younger,,,,,0.0
2015,number,sexual harassment,13 years and younger,,,,,0.0
2016,number,sexual harassment,13 years and younger,,,,,0.0
2017,number,sexual harassment,13 years and younger,,,,,0.0
2018,number,sexual harassment,13 years and younger,,,,,0.0
2019,number,sexual harassment,13 years and younger,,,,,0.0
2020,number,sexual harassment,13 years and younger,,,,,0.0
2021,number,sexual harassment,13 years and younger,,|,,,47.0
2022,number,sexual harassment,13 years and younger,,,,,144.0
2023,number,sexual harassment,13 years and younger,,,,,130.0
2024,number,sexual harassment,13 years and younger,,,,,140.0
2025,number,sexual harassment,13 years and younger,,,,,115.0
2010,number,sexual harassment,13 years and younger,female,,,,0.0
2011,number,sexual harassment,13 years and younger,female,,,,0.0
2012,number,sexual harassment,13 years and younger,female,,,,0.0
2013,number,sexual harassment,13 years and younger,female,,,,0.0
2014,number,sexual harassment,13 years and younger,female,,,,0.0
2015,number,sexual harassment,13 years and younger,female,,,,0.0
2016,number,sexual harassment,13 years and younger,female,,,,0.0
2017,number,sexual harassment,13 years and younger,female,,,,0.0
2018,number,sexual harassment,13 years and younger,female,,,,0.0
2019,number,sexual harassment,13 years and younger,female,,,,0.0
2020,number,sexual harassment,13 years and younger,female,,,,0.0
2021,number,sexual harassment,13 years and younger,female,|,,,32.0
2022,number,sexual harassment,13 years and younger,female,,,,118.0
2023,number,sexual harassment,13 years and younger,female,,,,107.0
2024,number,sexual harassment,13 years and younger,female,,,,91.0
2025,number,sexual harassment,13 years and younger,female,,,,76.0
2010,number,sexual harassment,13 years and younger,male,,,,0.0
2011,number,sexual harassment,13 years and younger,male,,,,0.0
2012,number,sexual harassment,13 years and younger,male,,,,0.0
2013,number,sexual harassment,13 years and younger,male,,,,0.0
2014,number,sexual harassment,13 years and younger,male,,,,0.0
2015,number,sexual harassment,13 years and younger,male,,,,0.0
2016,number,sexual harassment,13 years and younger,male,,,,0.0
2017,number,sexual harassment,13 years and younger,male,,,,0.0
2018,number,sexual harassment,13 years and younger,male,,,,0.0
2019,number,sexual harassment,13 years and younger,male,,,,0.0
2020,number,sexual harassment,13 years and younger,male,,,,0.0
2021,number,sexual harassment,13 years and younger,male,|,,,15.0
2022,number,sexual harassment,13 years and younger,male,,,,26.0
2023,number,sexual harassment,13 years and younger,male,,,,23.0
2024,number,sexual harassment,13 years and younger,male,,,,49.0
2025,number,sexual harassment,13 years and younger,male,,,,39.0
2010,number,sexual harassment,14 to under 18 years,,,,,1267.0
2011,number,sexual harassment,14 to under 18 years,,,,,1362.0
2012,number,sexual harassment,14 to under 18 years,,,,,1356.0
2013,number,sexual harassment,14 to under 18 years,,,,,1384.0
2014,number,sexual harassment,14 to under 18 years,,,,,1368.0
2015,number,sexual harassment,14 to under 18 years,,,,,1245.0
2016,number,sexual harassment,14 to under 18 years,,,,,1149.0
2017,number,sexual harassment,14 to under 18 years,,,,,1104.0
2018,number,sexual harassment,14 to under 18 years,,,,,1110.0
2019,number,sexual harassment,14 to under 18 years,,,,,931.0
2020,number,sexual harassment,14 to under 18 years,,,,,1067.0
2021,number,sexual harassment,14 to under 18 years,,|,,,1070.0
2022,number,sexual harassment,14 to under 18 years,,,,,1243.0
