Year,Units,type of harassment,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2016,percentage,sexual harassment,21 to under 60 years,female,,,,0.0239
2017,percentage,sexual harassment,21 to under 60 years,female,,,,0.0226
2018,percentage,sexual harassment,21 to under 60 years,female,,,,0.0245
2019,percentage,sexual harassment,21 to under 60 years,female,,,,0.0224
2020,percentage,sexual harassment,21 to under 60 years,female,,,,0.0263
2021,percentage,sexual harassment,21 to under 60 years,female,|,,,0.0253
2022,percentage,sexual harassment,21 to under 60 years,female,,,,0.0264
2023,percentage,sexual harassment,21 to under 60 years,female,,,,0.0278
2024,percentage,sexual harassment,21 to under 60 years,female,,,,0.0289
2025,percentage,sexual harassment,21 to under 60 years,female,,,,
2010,percentage,sexual harassment,21 to under 60 years,male,0,,,0.0027
2011,percentage,sexual harassment,21 to under 60 years,male,0,,,0.003
2012,percentage,sexual harassment,21 to under 60 years,male,0,,,0.0029
2013,percentage,sexual harassment,21 to under 60 years,male,0,,,0.0028
2014,percentage,sexual harassment,21 to under 60 years,male,0,,,0.0032
2015,percentage,sexual harassment,21 to under 60 years,male,0,,,0.0032
2016,percentage,sexual harassment,21 to under 60 years,male,0,,,0.0036
2017,percentage,sexual harassment,21 to under 60 years,male,0,,,0.0035
2018,percentage,sexual harassment,21 to under 60 years,male,0,,,0.0038
2019,percentage,sexual harassment,21 to under 60 years,male,0,,,0.0042
2020,percentage,sexual harassment,21 to under 60 years,male,0,,,0.0046
2021,percentage,sexual harassment,21 to under 60 years,male,|,0,,0.0048
2022,percentage,sexual harassment,21 to under 60 years,male,,,,0.0051
2023,percentage,sexual harassment,21 to under 60 years,male,,,,0.0058
2024,percentage,sexual harassment,21 to under 60 years,male,,,,0.0064
2025,percentage,sexual harassment,21 to under 60 years,male,,,,
2010,percentage,sexual harassment,60 years and older,,0,,,0.0031
2011,percentage,sexual harassment,60 years and older,,0,,,0.0033
2012,percentage,sexual harassment,60 years and older,,0,,,0.0033
2013,percentage,sexual harassment,60 years and older,,0,,,0.0034
2014,percentage,sexual harassment,60 years and older,,0,,,0.0032
2015,percentage,sexual harassment,60 years and older,,0,,,0.0034
2016,percentage,sexual harassment,60 years and older,,0,,,0.0035
2017,percentage,sexual harassment,60 years and older,,0,,,0.0033
2018,percentage,sexual harassment,60 years and older,,0,,,0.0035
2019,percentage,sexual harassment,60 years and older,,0,,,0.0032
2020,percentage,sexual harassment,60 years and older,,0,,,0.0034
2021,percentage,sexual harassment,60 years and older,,|,0,,0.0033
2022,percentage,sexual harassment,60 years and older,,0,,,0.0032
2023,percentage,sexual harassment,60 years and older,,0,,,0.0037
2024,percentage,sexual harassment,60 years and older,,0,,,0.0036
2025,percentage,sexual harassment,60 years and older,,,,,
2010,percentage,sexual harassment,60 years and older,female,0,,,0.005
2011,percentage,sexual harassment,60 years and older,female,,,,0.0052
2012,percentage,sexual harassment,60 years and older,female,,,,0.0052
2013,percentage,sexual harassment,60 years and older,female,,,,0.0055
2014,percentage,sexual harassment,60 years and older,female,,,,0.0052
2015,percentage,sexual harassment,60 years and older,female,,,,0.0054
2016,percentage,sexual harassment,60 years and older,female,,,,0.0056
2017,percentage,sexual harassment,60 years and older,female,,,,0.0052
2018,percentage,sexual harassment,60 years and older,female,,,,0.0054
2019,percentage,sexual harassment,60 years and older,female,,,,0.0051
2020,percentage,sexual harassment,60 years and older,female,,,,0.0052
2021,percentage,sexual harassment,60 years and older,female,|,,,0.0052
2022,percentage,sexual harassment,60 years and older,female,,,,0.005
2023,percentage,sexual harassment,60 years and older,female,,,,0.0055
2024,percentage,sexual harassment,60 years and older,female,,,,0.0054
2025,percentage,sexual harassment,60 years and older,female,,,,
2010,percentage,sexual harassment,60 years and older,male,0,,,0.0008
2011,percentage,sexual harassment,60 years and older,male,0,,,0.001
2012,percentage,sexual harassment,60 years and older,male,0,,,0.0008
2013,percentage,sexual harassment,60 years and older,male,0,,,0.0007
2014,percentage,sexual harassment,60 years and older,male,0,,,0.0008
2015,percentage,sexual harassment,60 years and older,male,0,,,0.001
2016,percentage,sexual harassment,60 years and older,male,0,,,0.0008
2017,percentage,sexual harassment,60 years and older,male,0,,,0.0009
2018,percentage,sexual harassment,60 years and older,male,0,,,0.0012
2019,percentage,sexual harassment,60 years and older,male,0,,,0.0007
2020,percentage,sexual harassment,60 years and older,male,0,,,0.0011
2021,percentage,sexual harassment,60 years and older,male,|,0,,0.0009
2022,percentage,sexual harassment,60 years and older,male,0,,,0.001
2023,percentage,sexual harassment,60 years and older,male,0,,,0.0015
2024,percentage,sexual harassment,60 years and older,male,0,,,0.0015
2025,percentage,sexual harassment,60 years and older,male,,,,
