Year,Aktivitäten,Altersklasse,Value
2017,Installation von Software oder Anwendungen (Apps),16 bis unter 25 Jahre,86.0
2018,Installation von Software oder Anwendungen (Apps),16 bis unter 25 Jahre,
2019,Installation von Software oder Anwendungen (Apps),16 bis unter 25 Jahre,88.0
2010,"Erstellung elektronischer Präsentationen mit Präsentationssoftware, z. B. mit Bildern, Ton, Video oder Diagrammen",16 bis unter 25 Jahre,
2011,"Erstellung elektronischer Präsentationen mit Präsentationssoftware, z. B. mit Bildern, Ton, Video oder Diagrammen",16 bis unter 25 Jahre,67.0
2012,"Erstellung elektronischer Präsentationen mit Präsentationssoftware, z. B. mit Bildern, Ton, Video oder Diagrammen",16 bis unter 25 Jahre,57.0
2013,"Erstellung elektronischer Präsentationen mit Präsentationssoftware, z. B. mit Bildern, Ton, Video oder Diagrammen",16 bis unter 25 Jahre,
2014,"Erstellung elektronischer Präsentationen mit Präsentationssoftware, z. B. mit Bildern, Ton, Video oder Diagrammen",16 bis unter 25 Jahre,67.0
2015,"Erstellung elektronischer Präsentationen mit Präsentationssoftware, z. B. mit Bildern, Ton, Video oder Diagrammen",16 bis unter 25 Jahre,
2016,"Erstellung elektronischer Präsentationen mit Präsentationssoftware, z. B. mit Bildern, Ton, Video oder Diagrammen",16 bis unter 25 Jahre,
2017,"Erstellung elektronischer Präsentationen mit Präsentationssoftware, z. B. mit Bildern, Ton, Video oder Diagrammen",16 bis unter 25 Jahre,
2018,"Erstellung elektronischer Präsentationen mit Präsentationssoftware, z. B. mit Bildern, Ton, Video oder Diagrammen",16 bis unter 25 Jahre,
2019,"Erstellung elektronischer Präsentationen mit Präsentationssoftware, z. B. mit Bildern, Ton, Video oder Diagrammen",16 bis unter 25 Jahre,
2010,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",16 bis unter 25 Jahre,
2011,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",16 bis unter 25 Jahre,
