Year,Economic activity,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Air passenger transport,.,,,<u>Additional time series:</u> Employees,
2011,Air passenger transport,.,,,<u>Additional time series:</u> Employees,
2012,Air passenger transport,.,,,<u>Additional time series:</u> Employees,
2013,Air passenger transport,.,,,<u>Additional time series:</u> Employees,
2014,Air passenger transport,.,,,<u>Additional time series:</u> Employees,
2015,Air passenger transport,.,,,<u>Additional time series:</u> Employees,
2016,Air passenger transport,.,,,<u>Additional time series:</u> Employees,
2017,Air passenger transport,.,,,<u>Additional time series:</u> Employees,
2018,Air passenger transport,.,,,<u>Additional time series:</u> Employees,
2019,Air passenger transport,.,,,<u>Additional time series:</u> Employees,
2020,Air passenger transport,,,,<u>Additional time series:</u> Employees,57763.0
2021,Air passenger transport,,,,<u>Additional time series:</u> Employees,53976.0
2022,Air passenger transport,,,,<u>Additional time series:</u> Employees,52214.0
2023,Air passenger transport,,,,<u>Additional time series:</u> Employees,56268.0
2010,Transport equipment rental,.,,,<u>Additional time series:</u> Employees,
2011,Transport equipment rental,.,,,<u>Additional time series:</u> Employees,
2012,Transport equipment rental,.,,,<u>Additional time series:</u> Employees,
2013,Transport equipment rental,.,,,<u>Additional time series:</u> Employees,
2014,Transport equipment rental,.,,,<u>Additional time series:</u> Employees,
2015,Transport equipment rental,.,,,<u>Additional time series:</u> Employees,
2016,Transport equipment rental,.,,,<u>Additional time series:</u> Employees,
2017,Transport equipment rental,.,,,<u>Additional time series:</u> Employees,
2018,Transport equipment rental,.,,,<u>Additional time series:</u> Employees,
2019,Transport equipment rental,.,,,<u>Additional time series:</u> Employees,
2020,Transport equipment rental,,,,<u>Additional time series:</u> Employees,30207.0
2021,Transport equipment rental,,,,<u>Additional time series:</u> Employees,35394.0
2022,Transport equipment rental,,,,<u>Additional time series:</u> Employees,40890.0
2023,Transport equipment rental,,,,<u>Additional time series:</u> Employees,38225.0
2010,Travel agencies and other reservation service activities,.,,,<u>Additional time series:</u> Employees,
2011,Travel agencies and other reservation service activities,.,,,<u>Additional time series:</u> Employees,
2012,Travel agencies and other reservation service activities,.,,,<u>Additional time series:</u> Employees,
2013,Travel agencies and other reservation service activities,.,,,<u>Additional time series:</u> Employees,
2014,Travel agencies and other reservation service activities,.,,,<u>Additional time series:</u> Employees,
2015,Travel agencies and other reservation service activities,.,,,<u>Additional time series:</u> Employees,
2016,Travel agencies and other reservation service activities,.,,,<u>Additional time series:</u> Employees,
2017,Travel agencies and other reservation service activities,.,,,<u>Additional time series:</u> Employees,
2018,Travel agencies and other reservation service activities,.,,,<u>Additional time series:</u> Employees,
2019,Travel agencies and other reservation service activities,.,,,<u>Additional time series:</u> Employees,
2020,Travel agencies and other reservation service activities,,,,<u>Additional time series:</u> Employees,71757.0
2021,Travel agencies and other reservation service activities,,,,<u>Additional time series:</u> Employees,69620.0
2022,Travel agencies and other reservation service activities,,,,<u>Additional time series:</u> Employees,78682.0
2023,Travel agencies and other reservation service activities,,,,<u>Additional time series:</u> Employees,74969.0
2021,Cultural activities,,,,<u>Additional time series:</u> Employees,48031.0
2022,Cultural activities,,,,<u>Additional time series:</u> Employees,53906.0
2023,Cultural activities,,,,<u>Additional time series:</u> Employees,56266.0
2021,Sports and Recreational activities,,,,<u>Additional time series:</u> Employees,275068.0
2022,Sports and Recreational activities,,,,<u>Additional time series:</u> Employees,286360.0
2023,Sports and Recreational activities,,,,<u>Additional time series:</u> Employees,276102.0
2010,Accommodation for visitors: hotels and similar establishments,.,,,<u>Additional time series:</u> Full-time equivalents,
2011,Accommodation for visitors: hotels and similar establishments,.,,,<u>Additional time series:</u> Full-time equivalents,
2012,Accommodation for visitors: hotels and similar establishments,.,,,<u>Additional time series:</u> Full-time equivalents,
2013,Accommodation for visitors: hotels and similar establishments,.,,,<u>Additional time series:</u> Full-time equivalents,
2014,Accommodation for visitors: hotels and similar establishments,.,,,<u>Additional time series:</u> Full-time equivalents,
2015,Accommodation for visitors: hotels and similar establishments,.,,,<u>Additional time series:</u> Full-time equivalents,
2016,Accommodation for visitors: hotels and similar establishments,.,,,<u>Additional time series:</u> Full-time equivalents,
2017,Accommodation for visitors: hotels and similar establishments,.,,,<u>Additional time series:</u> Full-time equivalents,
2018,Accommodation for visitors: hotels and similar establishments,.,,,<u>Additional time series:</u> Full-time equivalents,
2019,Accommodation for visitors: hotels and similar establishments,.,,,<u>Additional time series:</u> Full-time equivalents,
2020,Accommodation for visitors: hotels and similar establishments,,,,<u>Additional time series:</u> Full-time equivalents,289724.0
2021,Accommodation for visitors: hotels and similar establishments,,,,<u>Additional time series:</u> Full-time equivalents,345255.0
2022,Accommodation for visitors: hotels and similar establishments,,,,<u>Additional time series:</u> Full-time equivalents,353567.0
2023,Accommodation for visitors: hotels and similar establishments,r,,,<u>Additional time series:</u> Full-time equivalents,352522.0
2010,Accommodation for visitors: other,.,,,<u>Additional time series:</u> Full-time equivalents,
2011,Accommodation for visitors: other,.,,,<u>Additional time series:</u> Full-time equivalents,
2012,Accommodation for visitors: other,.,,,<u>Additional time series:</u> Full-time equivalents,
2013,Accommodation for visitors: other,.,,,<u>Additional time series:</u> Full-time equivalents,
2014,Accommodation for visitors: other,.,,,<u>Additional time series:</u> Full-time equivalents,
2015,Accommodation for visitors: other,.,,,<u>Additional time series:</u> Full-time equivalents,
2016,Accommodation for visitors: other,.,,,<u>Additional time series:</u> Full-time equivalents,
2017,Accommodation for visitors: other,.,,,<u>Additional time series:</u> Full-time equivalents,
2018,Accommodation for visitors: other,.,,,<u>Additional time series:</u> Full-time equivalents,
2019,Accommodation for visitors: other,.,,,<u>Additional time series:</u> Full-time equivalents,
2020,Accommodation for visitors: other,,,,<u>Additional time series:</u> Full-time equivalents,270579.0
2021,Accommodation for visitors: other,,,,<u>Additional time series:</u> Full-time equivalents,406427.0
2022,Accommodation for visitors: other,,,,<u>Additional time series:</u> Full-time equivalents,377342.0
2023,Accommodation for visitors: other,,,,<u>Additional time series:</u> Full-time equivalents,374218.0
2010,Food and beverage serving activities,.,,,<u>Additional time series:</u> Full-time equivalents,
2011,Food and beverage serving activities,.,,,<u>Additional time series:</u> Full-time equivalents,
2012,Food and beverage serving activities,.,,,<u>Additional time series:</u> Full-time equivalents,
2013,Food and beverage serving activities,.,,,<u>Additional time series:</u> Full-time equivalents,
2014,Food and beverage serving activities,.,,,<u>Additional time series:</u> Full-time equivalents,
2015,Food and beverage serving activities,.,,,<u>Additional time series:</u> Full-time equivalents,
2016,Food and beverage serving activities,.,,,<u>Additional time series:</u> Full-time equivalents,
2017,Food and beverage serving activities,.,,,<u>Additional time series:</u> Full-time equivalents,
2018,Food and beverage serving activities,.,,,<u>Additional time series:</u> Full-time equivalents,
2019,Food and beverage serving activities,.,,,<u>Additional time series:</u> Full-time equivalents,
2020,Food and beverage serving activities,,,,<u>Additional time series:</u> Full-time equivalents,743998.0
2021,Food and beverage serving activities,,,,<u>Additional time series:</u> Full-time equivalents,1072961.0
2022,Food and beverage serving activities,,,,<u>Additional time series:</u> Full-time equivalents,925027.0
2023,Food and beverage serving activities,,,,<u>Additional time series:</u> Full-time equivalents,932114.0
2022,Railway passenger transport,,,,<u>Additional time series:</u> Full-time equivalents,23151.0
2023,Railway passenger transport,,,,<u>Additional time series:</u> Full-time equivalents,23326.0
2010,Road passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2011,Road passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2012,Road passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2013,Road passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2014,Road passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2015,Road passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2016,Road passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2017,Road passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2018,Road passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2019,Road passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2020,Road passenger transport,,,,<u>Additional time series:</u> Full-time equivalents,96528.0
2021,Road passenger transport,,,,<u>Additional time series:</u> Full-time equivalents,129574.0
2022,Road passenger transport,,,,<u>Additional time series:</u> Full-time equivalents,126403.0
2023,Road passenger transport,,,,<u>Additional time series:</u> Full-time equivalents,128524.0
2010,Water passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2011,Water passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2012,Water passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2013,Water passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2014,Water passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2015,Water passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2016,Water passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2017,Water passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2018,Water passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2019,Water passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2020,Water passenger transport,,,,<u>Additional time series:</u> Full-time equivalents,6722.0
2021,Water passenger transport,,,,<u>Additional time series:</u> Full-time equivalents,7346.0
2022,Water passenger transport,,,,<u>Additional time series:</u> Full-time equivalents,7746.0
2023,Water passenger transport,,,,<u>Additional time series:</u> Full-time equivalents,7414.0
2010,Air passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2011,Air passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2012,Air passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2013,Air passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2014,Air passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2015,Air passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2016,Air passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2017,Air passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2018,Air passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2019,Air passenger transport,.,,,<u>Additional time series:</u> Full-time equivalents,
2020,Air passenger transport,,,,<u>Additional time series:</u> Full-time equivalents,45264.0
2021,Air passenger transport,,,,<u>Additional time series:</u> Full-time equivalents,45513.0
2022,Air passenger transport,,,,<u>Additional time series:</u> Full-time equivalents,44077.0
