Year,Units,type of disease,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2012,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,48512
2013,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,52989
2014,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,51339
2015,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,46528
2016,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,45160
2017,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,42271
2018,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,47695
2019,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,36242
2020,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,31966
2021,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,34077
2022,dalys,stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,31025
2023,dalys,stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,22952
2010,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,245246
2011,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,220119
2012,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,174295
2013,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,189410
2014,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,176540
2015,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,163375
2016,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,150936
2017,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,144459
2018,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,151706
2019,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,111394
2020,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,100090
2021,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,109710
2022,dalys,ischemic heart diseases,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,97540
2023,dalys,ischemic heart diseases,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,69579
2010,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,97239
2011,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,93768
2012,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,78938
2013,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,85888
2014,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,83176
2015,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,78038
2016,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,74198
2017,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,73386
2018,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,80493
2019,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,63085
2020,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,57967
2021,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,63823
2022,dalys,diabetes mellitus type 2,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,54955
2023,dalys,diabetes mellitus type 2,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,40689
