Year,Units,Geschlecht,Altersklasse,Form der Ausbeutung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2012,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,|,,,8.586
2013,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,8.472
2014,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,8.598
2015,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,5.966
2016,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,4.521
2017,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,5.929
2018,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,4.939
2019,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,2.936
2020,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,3.476
2021,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,3.134
2022,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,3.997
2023,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,|,,,2.781
2024,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,3.22
2010,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,3.207
2011,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,3.368
2012,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,|,,,3.033
2013,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,2.769
2014,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,3.007
2015,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,1.815
2016,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,2.928
2017,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,2.991
2018,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,2.524
2019,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,2.126
2020,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,2.091
2021,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,2.24
2022,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,2.465
2023,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,|,,,2.111
2024,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,1.814
2010,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.21
2011,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.216
2012,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,|,,,0.252
2013,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.228
2014,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.267
2015,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.158
2016,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.227
2017,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.238
2018,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.2
2019,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.325
