Year,Units,Geschlecht,Altersklasse,Form der Ausbeutung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.231
2021,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.286
2022,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.352
2023,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,|,,,0.306
2024,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.4
2010,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2011,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2012,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2013,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2014,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2015,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2016,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2017,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2018,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2019,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2020,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2021,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2022,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2023,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2024,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2010,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,1.41
2011,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,1.439
2012,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,|,,,1.417
2013,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,1.259
2014,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,1.289
2015,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,0.965
